Vbias,lp,wn,wp,r_out,gm_m0,gm_m1
0,0.000015,0.000005,0.00012,5356,1.62E-09,3.022E-08
0,0.000015,0.0000075,0.00012,5357,2.432E-09,4.253E-08
0,0.000015,0.00001,0.00012,5357,3.243E-09,5.484E-08
0,0.000015,0.0000125,0.00012,5358,4.055E-09,6.714E-08
0,0.000015,0.000015,0.00012,5358,4.867E-09,7.944E-08
0,0.00002125,0.000005,0.00014,4591,1.62E-09,3.116E-08
0,0.00002125,0.0000075,0.00014,4591,2.432E-09,4.347E-08
0,0.00002125,0.00001,0.00014,4592,3.243E-09,5.578E-08
0,0.00002125,0.0000125,0.00014,4592,4.055E-09,6.809E-08
0,0.00002125,0.000015,0.00014,4592,4.867E-09,8.039E-08
0,0.0000275,0.000005,0.00016,4017,1.62E-09,3.21E-08
0,0.0000275,0.0000075,0.00016,4017,2.432E-09,4.442E-08
0,0.0000275,0.00001,0.00016,4017,3.243E-09,5.672E-08
0,0.0000275,0.0000125,0.00016,4018,4.055E-09,6.903E-08
0,0.0000275,0.000015,0.00016,4018,4.867E-09,8.134E-08
0,0.00003375,0.000005,0.00018,3570,1.62E-09,3.304E-08
0,0.00003375,0.0000075,0.00018,3571,2.432E-09,4.536E-08
0,0.00003375,0.00001,0.00018,3571,3.243E-09,5.766E-08
0,0.00003375,0.0000125,0.00018,3571,4.055E-09,6.998E-08
0,0.00003375,0.000015,0.00018,3571,4.867E-09,8.228E-08
0,0.00004,0.000005,0.002,3213,1.62E-09,3.398E-08
0,0.00004,0.0000075,0.002,3213,2.432E-09,4.63E-08
0,0.00004,0.00001,0.002,3214,3.243E-09,5.861E-08
0,0.00004,0.0000125,0.002,3214,4.055E-09,7.092E-08
0,0.00004,0.000015,0.002,3214,4.867E-09,8.323E-08
0,0.000015,0.000005,0.00012,7592,1.62E-09,3.021E-08
0,0.000015,0.0000075,0.00012,7593,2.432E-09,4.252E-08
0,0.000015,0.00001,0.00012,7594,3.243E-09,5.482E-08
0,0.000015,0.0000125,0.00012,7595,4.055E-09,6.712E-08
0,0.000015,0.000015,0.00012,7596,4.867E-09,7.94E-08
0,0.00002125,0.000005,0.00014,6507,1.62E-09,3.115E-08
0,0.00002125,0.0000075,0.00014,6508,2.432E-09,4.347E-08
0,0.00002125,0.00001,0.00014,6509,3.243E-09,5.577E-08
0,0.00002125,0.0000125,0.00014,6509,4.055E-09,6.807E-08
0,0.00002125,0.000015,0.00014,6510,4.867E-09,8.036E-08
0,0.0000275,0.000005,0.00016,5694,1.62E-09,3.21E-08
0,0.0000275,0.0000075,0.00016,5694,2.432E-09,4.441E-08
0,0.0000275,0.00001,0.00016,5695,3.243E-09,5.671E-08
0,0.0000275,0.0000125,0.00016,5695,4.055E-09,6.902E-08
0,0.0000275,0.000015,0.00016,5696,4.867E-09,8.131E-08
0,0.00003375,0.000005,0.00018,5061,1.62E-09,3.304E-08
0,0.00003375,0.0000075,0.00018,5061,2.432E-09,4.535E-08
0,0.00003375,0.00001,0.00018,5062,3.243E-09,5.766E-08
0,0.00003375,0.0000125,0.00018,5062,4.055E-09,6.996E-08
0,0.00003375,0.000015,0.00018,5063,4.867E-09,8.226E-08
0,0.00004,0.000005,0.002,4555,1.62E-09,3.398E-08
0,0.00004,0.0000075,0.002,4555,2.432E-09,4.629E-08
0,0.00004,0.00001,0.002,4555,3.243E-09,5.86E-08
0,0.00004,0.0000125,0.002,4556,4.055E-09,7.09E-08
0,0.00004,0.000015,0.002,4556,4.867E-09,8.321E-08
0,0.000015,0.000005,0.00012,9829,1.62E-09,3.021E-08
0,0.000015,0.0000075,0.00012,9830,2.432E-09,4.251E-08
