Vbias=0,lp=5e-06,wn=2e-05,wp=5e-05,m1-gm,m0-gm,m0-rout,,,,,,,
1.37E-20,2,1.37E-20,5.00E-05,2,0,0,,,,,,,
3.73E-20,1.96,3.73E-20,2.63E-04,1.96,0.04,0.04,,,,,,,
1.02E-19,1.92,1.02E-19,4.75E-04,1.92,0.08,0.08,,,,,,,
2.78E-19,1.88,2.78E-19,6.88E-04,1.88,0.12,0.12,,,,,,,
7.58E-19,1.84,7.58E-19,9.00E-04,1.84,0.16,0.16,,,,,,,
2.07E-18,1.8,2.07E-18,5.00E-05,1.8,0.2,0.2,,,,,,,
5.63E-18,1.76,5.63E-18,2.63E-04,1.76,0.24,0.24,,,,,,,
1.54E-17,1.72,1.54E-17,4.75E-04,1.72,0.28,0.28,,,,,,,
4.19E-17,1.68,4.19E-17,6.88E-04,1.68,0.32,0.32,,,,,,,
1.14E-16,1.64,1.14E-16,9.00E-04,1.64,0.36,0.36,,,,,,,
3.11E-16,1.6,3.11E-16,5.00E-05,1.6,0.4,0.4,,,,,,,
8.48E-16,1.56,8.48E-16,2.63E-04,1.56,0.44,0.44,,,,,,,
2.31E-15,1.52,2.31E-15,4.75E-04,1.52,0.48,0.48,,,,,,,
6.30E-15,1.48,6.30E-15,6.88E-04,1.48,0.52,0.52,,,,,,,
1.72E-14,1.44,1.72E-14,9.00E-04,1.44,0.56,0.56,,,,,,,
4.68E-14,1.4,4.68E-14,5.00E-05,1.4,0.6,0.6,,,,,,,
1.27E-13,1.36,1.27E-13,2.63E-04,1.36,0.64,0.64,,,,,,,
3.47E-13,1.32,3.47E-13,4.75E-04,1.32,0.68,0.68,,,,,,,
9.46E-13,1.28,9.46E-13,6.88E-04,1.28,0.72,0.72,,,,,,,
2.58E-12,1.24,2.58E-12,9.00E-04,1.24,0.76,0.76,,,,,,,
7.01E-12,1.2,7.01E-12,5.00E-05,1.2,0.8,0.8,,,,,,,
1.91E-11,1.16,1.91E-11,2.63E-04,1.16,0.84,0.84,,,,,,,
5.19E-11,1.12,5.19E-11,4.75E-04,1.12,0.88,0.88,,,,,,,
1.41E-10,1.08,1.41E-10,6.88E-04,1.08,0.92,0.92,,,,,,,
3.82E-10,1.04,3.82E-10,9.00E-04,1.04,0.96,0.96,,,,,,,
1.03E-09,1,1.03E-09,5.00E-05,1,1,1,,,,,,,
2.77E-09,0.96,2.77E-09,2.63E-04,0.96,1.04,1.04,,,,,,,
7.40E-09,0.92,7.40E-09,4.75E-04,0.92,1.08,1.08,,,,,,,
1.95E-08,0.88,1.95E-08,6.88E-04,0.88,1.12,1.12,,,,,,,
5.06E-08,0.84,5.06E-08,9.00E-04,0.84,1.16,1.16,,,,,,,
7.76E-08,0.12,1.22E-07,5.00E-05,0.12,1.2,1.2,,,,,,,
8.07E-08,0.08,1.27E-07,2.63E-04,0.08,1.24,1.24,,,,,,,
8.69E-08,0.16,1.37E-07,4.75E-04,0.16,1.28,1.28,,,,,,,
8.92E-08,0.04,1.40E-07,6.88E-04,0.04,1.32,1.32,,,,,,,
1.01E-07,0,1.58E-07,9.00E-04,0,1.36,1.36,,,,,,,
1.28E-07,0.8,1.28E-07,5.00E-05,0.8,1.4,1.4,,,,,,,
1.30E-07,0.2,2.05E-07,2.63E-04,0.2,1.44,1.44,,,,,,,
2.67E-07,0.24,4.22E-07,4.75E-04,0.24,1.48,1.48,,,,,,,
3.15E-07,0.76,3.15E-07,6.88E-04,0.76,1.52,1.52,,,,,,,
6.69E-07,0.28,1.06E-06,9.00E-04,0.28,1.56,1.56,,,,,,,
7.51E-07,0.72,7.51E-07,5.00E-05,0.72,1.6,1.6,,,,,,,
1.75E-06,0.68,1.75E-06,2.63E-04,0.68,1.64,1.64,,,,,,,
1.81E-06,0.32,2.89E-06,4.75E-04,0.32,1.68,1.68,,,,,,,
3.93E-06,0.64,3.93E-06,6.88E-04,0.64,1.72,1.72,,,,,,,
5.06E-06,0.36,8.14E-06,9.00E-04,0.36,1.76,1.76,,,,,,,
8.38E-06,0.6,8.38E-06,5.00E-05,0.6,1.8,1.8,,,,,,,
1.46E-05,0.4,2.46E-05,2.63E-04,0.4,1.84,1.84,,,,,,,
1.63E-05,0.56,1.63E-05,4.75E-04,0.56,1.88,1.88,,,,,,,
2.81E-05,0.52,2.81E-05,6.88E-04,0.52,1.92,1.92,,,,,,,
4.29E-05,0.48,4.29E-05,9.00E-04,0.48,1.96,1.96,,,,,,,
5.87E-05,0.44,5.90E-05,5.00E-05,0.44,2,2,,,,,,,
1.36843E-20,2,1.37006E-20,2.63E-04,2,0,0,,,,,,,
3.73412E-20,1.96,3.73754E-20,4.75E-04,1.96,0.04,0.04,,,,,,,
1.01875E-19,1.92,1.01946E-19,6.88E-04,1.92,0.08,0.08,,,,,,,
2.77886E-19,1.88,2.78031E-19,9.00E-04,1.88,0.12,0.12,,,,,,,
7.57875E-19,1.84,7.58171E-19,5.00E-05,1.84,0.16,0.16,,,,,,,
2.06666E-18,1.8,2.06726E-18,2.63E-04,1.8,0.2,0.2,,,,,,,
5.63496E-18,1.76,5.63615E-18,4.75E-04,1.76,0.24,0.24,,,,,,,
1.53627E-17,1.72,1.5365E-17,6.88E-04,1.72,0.28,0.28,,,,,,,
4.18796E-17,1.68,4.18843E-17,9.00E-04,1.68,0.32,0.32,,,,,,,
1.14157E-16,1.64,1.14166E-16,5.00E-05,1.64,0.36,0.36,,,,,,,
3.11152E-16,1.6,3.1117E-16,2.63E-04,1.6,0.4,0.4,,,,,,,
8.48035E-16,1.56,8.4807E-16,4.75E-04,1.56,0.44,0.44,,,,,,,
2.31115E-15,1.52,2.31122E-15,6.88E-04,1.52,0.48,0.48,,,,,,,
6.29823E-15,1.48,6.29837E-15,9.00E-04,1.48,0.52,0.52,,,,,,,
1.71626E-14,1.44,1.71629E-14,5.00E-05,1.44,0.56,0.56,,,,,,,
4.67652E-14,1.4,4.67657E-14,2.63E-04,1.4,0.6,0.6,,,,,,,
1.27418E-13,1.36,1.27419E-13,4.75E-04,1.36,0.64,0.64,,,,,,,
3.47135E-13,1.32,3.47137E-13,6.88E-04,1.32,0.68,0.68,,,,,,,
9.45604E-13,1.28,9.45607E-13,9.00E-04,1.28,0.72,0.72,,,,,,,
2.57535E-12,1.24,2.57535E-12,5.00E-05,1.24,0.76,0.76,,,,,,,
7.01181E-12,1.2,7.01182E-12,2.63E-04,1.2,0.8,0.8,,,,,,,
1.90817E-11,1.16,1.90817E-11,4.75E-04,1.16,0.84,0.84,,,,,,,
5.18885E-11,1.12,5.18885E-11,6.88E-04,1.12,0.88,0.88,,,,,,,
1.40926E-10,1.08,1.40926E-10,9.00E-04,1.08,0.92,0.92,,,,,,,
3.81988E-10,1.04,3.81988E-10,5.00E-05,1.04,0.96,0.96,,,,,,,
1.03213E-09,1,1.03213E-09,2.63E-04,1,1,1,,,,,,,
2.77485E-09,0.96,2.77485E-09,4.75E-04,0.96,1.04,1.04,,,,,,,
7.40199E-09,0.92,7.40199E-09,6.88E-04,0.92,1.08,1.08,,,,,,,
1.95117E-08,0.88,1.95117E-08,9.00E-04,0.88,1.12,1.12,,,,,,,
5.05509E-08,0.84,5.05509E-08,5.00E-05,0.84,1.16,1.16,,,,,,,
1.91917E-07,0.12,3.02764E-07,2.63E-04,0.12,1.2,1.2,,,,,,,
1.99605E-07,0.08,3.1477E-07,4.75E-04,0.08,1.24,1.24,,,,,,,
2.15585E-07,0.16,3.40404E-07,6.88E-04,0.16,1.28,1.28,,,,,,,
2.20606E-07,0.04,3.47816E-07,9.00E-04,0.04,1.32,1.32,,,,,,,
2.49064E-07,0,3.92614E-07,5.00E-05,0,1.36,1.36,,,,,,,
1.27931E-07,0.8,1.27931E-07,2.63E-04,0.8,1.4,1.4,,,,,,,
3.23666E-07,0.2,5.11831E-07,4.75E-04,0.2,1.44,1.44,,,,,,,
6.6877E-07,0.24,1.05954E-06,6.88E-04,0.24,1.48,1.48,,,,,,,
3.14666E-07,0.76,3.14666E-07,9.00E-04,0.76,1.52,1.52,,,,,,,
1.68405E-06,0.28,2.67588E-06,5.00E-05,0.28,1.56,1.56,,,,,,,
7.51421E-07,0.72,7.51421E-07,2.63E-04,0.72,1.6,1.6,,,,,,,
1.74629E-06,0.68,1.74629E-06,4.75E-04,0.68,1.64,1.64,,,,,,,
4.60263E-06,0.32,7.39006E-06,6.88E-04,0.32,1.68,1.68,,,,,,,
